 ,Area,Mean,Min,Max,X,Y,Slice
1,0,126,126,126,18.678,11.713,1
2,0,81,81,81,15.235,40.565,1
3,0,95,95,95,42.918,44.886,1
4,0,219,219,219,14.4,18.785,3
5,0,255,255,255,18.993,34.981,4
6,0,255,255,255,26.947,30.64,4
7,0,255,255,255,30.974,31.761,4
8,0,255,255,255,32.787,35.51,4
9,0,255,255,255,34.511,34.686,4
10,0,255,255,255,32.91,28.747,4
11,0,255,255,255,39.56,27.874,4
12,0,255,255,255,38.382,20.872,4
13,0,255,255,255,32.14,21.313,4
14,0,255,255,255,24.25,21.865,4
15,0,255,255,255,19.449,19.496,4
16,0,255,255,255,32.671,13.844,4
17,0,255,255,255,35.431,14.016,4
18,0,255,255,255,39.084,15.569,4
19,0,255,255,255,36.357,18.278,4
